Battery_power_mAh,Bluetooh,Speed_of_microprocessor,Dual_sim,Front_camera,4G,Internal_memeory_gb,Mobile_depth,Mobile_weight,Cores_of_processor,Primary_camera,px_height,Pixel_width,Ram_mb,Screen_height,Screen_weight,talk_time,3G,touch_screen,wifi,price_range
503 mAh,No,1.2,Yes,5 pixels,Yes,8 gb,0.4 cm,111 g,3,13 pixels,201 ppcm,1245 ppcm,2583 mb,11 cm,0 cm,12,Yes,No,No,Medium cost
961 mAh,Yes,1.4,Yes,0 pixels,Yes,57 gb,0.6 cm,114 g,8,3 pixels,291 ppcm,1434 ppcm,2782 mb,18 cm,9 cm,7,Yes,Yes,Yes,High cost
519 mAh,Yes,1.6,Yes,7 pixels,Yes,51 gb,0.3 cm,132 g,4,19 pixels,550 ppcm,645 ppcm,3763 mb,16 cm,1 cm,4,Yes,No,Yes,Very High cost
956 mAh,No,0.5,No,1 pixels,Yes,41 gb,1.0 cm,143 g,7,6 pixels,511 ppcm,1075 ppcm,3286 mb,17 cm,8 cm,12,Yes,Yes,No,Very High cost
1453 mAh,No,1.6,Yes,12 pixels,Yes,52 gb,0.3 cm,96 g,2,18 pixels,187 ppcm,1311 ppcm,2373 mb,10 cm,1 cm,10,Yes,Yes,Yes,High cost
851 mAh,No,0.5,No,3 pixels,No,21 gb,0.4 cm,200 g,5,7 pixels,1171 ppcm,1263 ppcm,478 mb,12 cm,7 cm,10,Yes,No,Yes,Low cost
1579 mAh,Yes,0.5,Yes,0 pixels,No,5 gb,0.2 cm,88 g,7,9 pixels,1358 ppcm,1739 ppcm,3532 mb,17 cm,11 cm,12,No,No,Yes,Very High cost
1568 mAh,Yes,0.5,No,16 pixels,No,33 gb,1.0 cm,150 g,8,20 pixels,413 ppcm,654 ppcm,508 mb,5 cm,1 cm,6,Yes,Yes,Yes,Low cost
1319 mAh,Yes,0.9,No,3 pixels,Yes,41 gb,0.9 cm,107 g,1,18 pixels,85 ppcm,1152 ppcm,2227 mb,18 cm,5 cm,3,Yes,Yes,Yes,Medium cost
1310 mAh,Yes,2.2,Yes,0 pixels,Yes,51 gb,0.6 cm,100 g,4,0 pixels,178 ppcm,1919 ppcm,3845 mb,7 cm,0 cm,12,Yes,Yes,No,Very High cost
644 mAh,Yes,2.7,No,0 pixels,No,22 gb,0.7 cm,157 g,8,3 pixels,311 ppcm,881 ppcm,1262 mb,12 cm,1 cm,15,Yes,No,No,Low cost
725 mAh,No,1.3,Yes,16 pixels,No,60 gb,0.4 cm,160 g,8,17 pixels,1134 ppcm,1249 ppcm,1326 mb,10 cm,4 cm,15,Yes,No,No,Medium cost
589 mAh,Yes,2.3,Yes,1 pixels,No,61 gb,0.6 cm,160 g,4,10 pixels,429 ppcm,815 ppcm,2113 mb,13 cm,7 cm,2,Yes,No,Yes,Medium cost
1725 mAh,Yes,1.6,Yes,6 pixels,Yes,6 gb,0.5 cm,119 g,2,18 pixels,609 ppcm,1307 ppcm,3429 mb,6 cm,5 cm,4,Yes,Yes,No,Very High cost
790 mAh,No,2.0,Yes,16 pixels,Yes,11 gb,0.3 cm,87 g,6,17 pixels,347 ppcm,730 ppcm,3169 mb,6 cm,1 cm,2,Yes,No,Yes,High cost
560 mAh,No,0.5,Yes,15 pixels,No,50 gb,0.3 cm,159 g,2,20 pixels,1448 ppcm,1613 ppcm,2150 mb,18 cm,12 cm,11,Yes,Yes,No,High cost
1347 mAh,No,2.9,No,5 pixels,No,44 gb,0.6 cm,132 g,1,14 pixels,434 ppcm,967 ppcm,2484 mb,18 cm,2 cm,11,Yes,No,Yes,High cost
1646 mAh,Yes,2.3,No,8 pixels,Yes,41 gb,0.2 cm,185 g,2,10 pixels,1725 ppcm,1932 ppcm,3339 mb,18 cm,10 cm,19,Yes,Yes,No,Very High cost
1253 mAh,Yes,0.5,Yes,5 pixels,Yes,5 gb,0.2 cm,152 g,2,19 pixels,685 ppcm,714 ppcm,1878 mb,15 cm,0 cm,4,Yes,Yes,No,Medium cost
1656 mAh,No,1.0,No,5 pixels,Yes,34 gb,0.1 cm,166 g,3,7 pixels,880 ppcm,1456 ppcm,1629 mb,15 cm,12 cm,14,Yes,Yes,No,Medium cost
1195 mAh,Yes,2.8,No,1 pixels,Yes,20 gb,0.8 cm,110 g,2,14 pixels,1580 ppcm,1652 ppcm,504 mb,9 cm,3 cm,12,Yes,Yes,No,Low cost
1514 mAh,No,2.9,No,0 pixels,No,27 gb,0.2 cm,118 g,3,1 pixels,186 ppcm,1810 ppcm,1152 mb,8 cm,3 cm,20,No,Yes,Yes,Medium cost
1723 mAh,Yes,1.1,Yes,1 pixels,No,42 gb,1.0 cm,164 g,8,14 pixels,202 ppcm,1791 ppcm,3587 mb,10 cm,5 cm,3,Yes,No,No,Very High cost
1054 mAh,Yes,1.8,Yes,3 pixels,Yes,40 gb,0.8 cm,196 g,7,10 pixels,27 ppcm,774 ppcm,2296 mb,16 cm,12 cm,12,Yes,No,Yes,Medium cost
578 mAh,Yes,2.6,Yes,2 pixels,Yes,57 gb,0.2 cm,162 g,8,8 pixels,1025 ppcm,1433 ppcm,1270 mb,15 cm,3 cm,5,Yes,No,Yes,Low cost
596 mAh,No,2.1,Yes,9 pixels,No,64 gb,0.8 cm,111 g,8,15 pixels,885 ppcm,1854 ppcm,3238 mb,16 cm,13 cm,10,No,No,No,Very High cost
1547 mAh,Yes,3.0,Yes,2 pixels,Yes,14 gb,0.7 cm,198 g,3,19 pixels,1042 ppcm,1832 ppcm,2059 mb,5 cm,0 cm,15,Yes,No,Yes,High cost
1760 mAh,No,1.4,Yes,5 pixels,No,63 gb,0.8 cm,127 g,8,19 pixels,1382 ppcm,1383 ppcm,2053 mb,19 cm,12 cm,16,No,Yes,No,High cost
1654 mAh,Yes,1.5,Yes,0 pixels,Yes,43 gb,0.3 cm,109 g,2,0 pixels,546 ppcm,629 ppcm,3112 mb,12 cm,5 cm,10,Yes,Yes,No,Very High cost
1457 mAh,No,1.9,Yes,1 pixels,Yes,16 gb,0.3 cm,102 g,3,10 pixels,1013 ppcm,1287 ppcm,1440 mb,17 cm,8 cm,12,Yes,No,Yes,Medium cost
1073 mAh,Yes,0.5,Yes,0 pixels,No,51 gb,0.5 cm,145 g,7,0 pixels,690 ppcm,804 ppcm,2908 mb,6 cm,0 cm,18,No,Yes,No,High cost
1936 mAh,No,2.1,Yes,10 pixels,Yes,46 gb,0.6 cm,104 g,3,20 pixels,667 ppcm,1036 ppcm,2552 mb,14 cm,7 cm,13,Yes,No,No,High cost
823 mAh,Yes,2.7,Yes,13 pixels,No,60 gb,0.5 cm,148 g,8,19 pixels,822 ppcm,1449 ppcm,905 mb,14 cm,11 cm,17,Yes,Yes,Yes,Low cost
987 mAh,No,1.3,Yes,0 pixels,Yes,61 gb,0.4 cm,107 g,3,9 pixels,581 ppcm,820 ppcm,3963 mb,9 cm,4 cm,20,Yes,No,Yes,Very High cost
1757 mAh,No,0.5,No,8 pixels,No,49 gb,0.5 cm,180 g,6,14 pixels,265 ppcm,713 ppcm,2056 mb,7 cm,5 cm,4,No,No,No,Medium cost
1063 mAh,No,1.4,Yes,2 pixels,Yes,48 gb,1.0 cm,128 g,5,4 pixels,127 ppcm,683 ppcm,2910 mb,15 cm,13 cm,9,Yes,Yes,Yes,High cost
1484 mAh,No,3.0,No,3 pixels,No,12 gb,0.6 cm,134 g,3,5 pixels,916 ppcm,969 ppcm,1457 mb,14 cm,4 cm,20,Yes,Yes,No,Medium cost
799 mAh,Yes,2.3,No,1 pixels,Yes,63 gb,0.8 cm,144 g,8,6 pixels,361 ppcm,975 ppcm,431 mb,15 cm,6 cm,6,Yes,Yes,Yes,Low cost
1156 mAh,Yes,1.2,Yes,0 pixels,Yes,50 gb,0.8 cm,159 g,2,0 pixels,322 ppcm,547 ppcm,470 mb,7 cm,0 cm,15,Yes,Yes,No,Low cost
1720 mAh,No,2.0,No,15 pixels,Yes,55 gb,0.5 cm,168 g,2,18 pixels,753 ppcm,1353 ppcm,2148 mb,14 cm,2 cm,5,Yes,Yes,Yes,High cost
702 mAh,No,2.6,Yes,2 pixels,Yes,9 gb,0.7 cm,141 g,3,3 pixels,504 ppcm,1570 ppcm,2955 mb,10 cm,4 cm,19,Yes,No,No,High cost
616 mAh,No,1.9,Yes,13 pixels,Yes,44 gb,0.8 cm,81 g,3,17 pixels,651 ppcm,1618 ppcm,3366 mb,18 cm,8 cm,13,Yes,Yes,No,Very High cost
1358 mAh,Yes,0.5,No,11 pixels,Yes,36 gb,0.3 cm,155 g,4,14 pixels,1565 ppcm,1858 ppcm,3068 mb,9 cm,4 cm,4,Yes,Yes,No,Very High cost
1866 mAh,No,1.4,No,0 pixels,No,30 gb,0.5 cm,182 g,3,0 pixels,108 ppcm,1781 ppcm,3834 mb,16 cm,11 cm,8,No,No,No,Very High cost
1242 mAh,No,1.1,Yes,0 pixels,No,10 gb,0.6 cm,165 g,2,1 pixels,459 ppcm,1225 ppcm,1050 mb,11 cm,1 cm,4,Yes,No,Yes,Low cost
1166 mAh,No,1.5,Yes,0 pixels,Yes,43 gb,0.8 cm,80 g,4,1 pixels,205 ppcm,603 ppcm,3993 mb,7 cm,1 cm,7,Yes,Yes,No,Very High cost
1448 mAh,Yes,0.5,Yes,6 pixels,Yes,45 gb,0.8 cm,138 g,7,11 pixels,570 ppcm,1724 ppcm,3378 mb,13 cm,11 cm,2,Yes,Yes,Yes,Very High cost
1407 mAh,Yes,2.4,No,1 pixels,Yes,22 gb,0.7 cm,104 g,4,4 pixels,1172 ppcm,1217 ppcm,2192 mb,9 cm,7 cm,13,Yes,No,Yes,High cost
605 mAh,No,1.0,No,8 pixels,Yes,9 gb,0.1 cm,142 g,3,16 pixels,160 ppcm,1026 ppcm,392 mb,15 cm,6 cm,4,Yes,No,No,Low cost
1038 mAh,No,1.2,No,3 pixels,No,43 gb,0.7 cm,141 g,1,5 pixels,4 ppcm,638 ppcm,3709 mb,11 cm,0 cm,12,Yes,Yes,Yes,Very High cost
797 mAh,Yes,2.9,Yes,4 pixels,No,38 gb,0.5 cm,90 g,4,6 pixels,763 ppcm,1413 ppcm,590 mb,9 cm,2 cm,6,No,Yes,No,Low cost
819 mAh,No,0.6,Yes,8 pixels,Yes,42 gb,0.9 cm,188 g,6,20 pixels,339 ppcm,1242 ppcm,1814 mb,5 cm,4 cm,13,Yes,No,Yes,Medium cost
1114 mAh,No,2.8,No,4 pixels,Yes,9 gb,0.4 cm,197 g,3,15 pixels,1040 ppcm,1071 ppcm,907 mb,10 cm,7 cm,17,Yes,Yes,No,Low cost
1234 mAh,Yes,1.6,Yes,1 pixels,No,33 gb,0.6 cm,172 g,1,3 pixels,166 ppcm,778 ppcm,1449 mb,11 cm,7 cm,6,No,No,Yes,Low cost
1199 mAh,Yes,2.5,Yes,15 pixels,Yes,16 gb,0.2 cm,116 g,4,20 pixels,1168 ppcm,1552 ppcm,3448 mb,17 cm,13 cm,10,Yes,No,Yes,Very High cost
1103 mAh,No,1.0,Yes,6 pixels,No,29 gb,0.7 cm,111 g,6,8 pixels,990 ppcm,1486 ppcm,1837 mb,8 cm,7 cm,16,No,Yes,Yes,Medium cost
1589 mAh,Yes,0.6,Yes,0 pixels,Yes,58 gb,0.9 cm,85 g,7,7 pixels,319 ppcm,1206 ppcm,3464 mb,19 cm,10 cm,6,Yes,Yes,Yes,Very High cost
999 mAh,No,2.9,Yes,11 pixels,Yes,64 gb,0.2 cm,199 g,4,19 pixels,1397 ppcm,1616 ppcm,2593 mb,14 cm,11 cm,16,Yes,Yes,No,High cost
1510 mAh,Yes,0.9,Yes,2 pixels,No,45 gb,0.9 cm,180 g,5,3 pixels,708 ppcm,1752 ppcm,3484 mb,9 cm,6 cm,11,No,Yes,Yes,Very High cost
1008 mAh,No,0.8,No,11 pixels,No,61 gb,1.0 cm,114 g,3,15 pixels,1077 ppcm,1122 ppcm,2009 mb,10 cm,3 cm,11,Yes,No,No,Medium cost
1127 mAh,Yes,2.9,Yes,5 pixels,Yes,57 gb,0.8 cm,163 g,1,13 pixels,928 ppcm,1049 ppcm,2048 mb,11 cm,5 cm,17,Yes,Yes,Yes,Medium cost
1412 mAh,Yes,2.4,No,5 pixels,No,25 gb,0.8 cm,96 g,8,17 pixels,516 ppcm,1894 ppcm,837 mb,15 cm,9 cm,4,No,No,Yes,Medium cost
1496 mAh,Yes,2.0,Yes,4 pixels,No,42 gb,0.5 cm,182 g,5,5 pixels,96 ppcm,741 ppcm,854 mb,16 cm,0 cm,7,No,Yes,Yes,Low cost
1083 mAh,Yes,2.9,Yes,1 pixels,Yes,64 gb,0.8 cm,178 g,3,11 pixels,1025 ppcm,1118 ppcm,3210 mb,13 cm,3 cm,4,Yes,No,No,Very High cost
668 mAh,No,0.5,Yes,0 pixels,No,3 gb,0.1 cm,155 g,5,13 pixels,666 ppcm,1203 ppcm,2746 mb,9 cm,5 cm,8,Yes,Yes,Yes,High cost
1309 mAh,No,1.1,Yes,0 pixels,No,33 gb,0.5 cm,100 g,4,14 pixels,557 ppcm,1402 ppcm,2334 mb,10 cm,1 cm,11,Yes,No,Yes,High cost
1724 mAh,No,2.0,Yes,2 pixels,Yes,57 gb,0.5 cm,177 g,3,5 pixels,1605 ppcm,1924 ppcm,2822 mb,19 cm,3 cm,16,Yes,Yes,No,Very High cost
1977 mAh,Yes,2.0,Yes,7 pixels,Yes,54 gb,1.0 cm,171 g,7,18 pixels,1226 ppcm,1242 ppcm,1971 mb,18 cm,7 cm,14,Yes,Yes,No,High cost
885 mAh,No,2.3,Yes,0 pixels,Yes,15 gb,0.4 cm,103 g,7,0 pixels,769 ppcm,802 ppcm,1410 mb,16 cm,10 cm,5,Yes,Yes,Yes,Low cost
879 mAh,Yes,2.5,No,11 pixels,Yes,14 gb,0.7 cm,83 g,6,15 pixels,403 ppcm,1105 ppcm,349 mb,16 cm,10 cm,2,Yes,No,Yes,Low cost
1322 mAh,No,1.7,Yes,6 pixels,No,7 gb,0.8 cm,140 g,3,9 pixels,177 ppcm,1990 ppcm,1418 mb,19 cm,17 cm,12,No,Yes,No,Medium cost
1137 mAh,Yes,1.0,No,18 pixels,No,7 gb,1.0 cm,196 g,3,19 pixels,942 ppcm,1179 ppcm,3616 mb,13 cm,5 cm,12,Yes,Yes,Yes,Very High cost
1355 mAh,No,2.3,No,10 pixels,Yes,23 gb,0.2 cm,132 g,5,16 pixels,651 ppcm,891 ppcm,880 mb,19 cm,4 cm,8,Yes,Yes,No,Low cost
1665 mAh,Yes,0.5,No,3 pixels,Yes,60 gb,0.2 cm,194 g,6,18 pixels,1572 ppcm,1684 ppcm,1601 mb,18 cm,17 cm,14,Yes,No,No,High cost
657 mAh,No,2.5,No,0 pixels,No,37 gb,0.7 cm,141 g,2,1 pixels,476 ppcm,961 ppcm,1412 mb,14 cm,3 cm,18,No,Yes,No,Low cost
593 mAh,No,0.5,No,6 pixels,No,31 gb,0.4 cm,156 g,7,7 pixels,1233 ppcm,1317 ppcm,1692 mb,6 cm,2 cm,7,Yes,No,No,Medium cost
1883 mAh,Yes,0.5,No,3 pixels,Yes,10 gb,0.3 cm,146 g,6,13 pixels,836 ppcm,1739 ppcm,2600 mb,16 cm,8 cm,20,Yes,No,No,Very High cost
1732 mAh,Yes,1.1,No,4 pixels,Yes,12 gb,0.8 cm,119 g,8,9 pixels,824 ppcm,881 ppcm,1308 mb,16 cm,7 cm,11,Yes,No,Yes,Medium cost
543 mAh,No,0.5,No,0 pixels,No,57 gb,0.7 cm,192 g,5,4 pixels,391 ppcm,984 ppcm,2413 mb,17 cm,14 cm,15,Yes,No,No,Medium cost
1939 mAh,Yes,2.8,Yes,0 pixels,Yes,55 gb,0.6 cm,199 g,4,10 pixels,320 ppcm,520 ppcm,1047 mb,14 cm,10 cm,18,Yes,Yes,No,Low cost
553 mAh,No,2.4,Yes,1 pixels,Yes,8 gb,0.5 cm,121 g,7,3 pixels,325 ppcm,902 ppcm,1204 mb,11 cm,4 cm,8,Yes,Yes,Yes,Low cost
832 mAh,No,0.7,Yes,2 pixels,Yes,39 gb,0.7 cm,103 g,4,3 pixels,125 ppcm,1504 ppcm,1799 mb,5 cm,2 cm,11,Yes,No,Yes,Medium cost
1661 mAh,No,1.9,Yes,5 pixels,No,23 gb,1.0 cm,172 g,5,10 pixels,846 ppcm,1634 ppcm,2676 mb,12 cm,6 cm,11,No,Yes,Yes,Very High cost
1657 mAh,Yes,2.4,No,3 pixels,No,42 gb,0.1 cm,198 g,5,16 pixels,1770 ppcm,1796 ppcm,2597 mb,18 cm,1 cm,14,Yes,No,No,Very High cost
1135 mAh,Yes,2.0,Yes,0 pixels,No,46 gb,0.3 cm,83 g,1,4 pixels,293 ppcm,1846 ppcm,3029 mb,19 cm,17 cm,9,Yes,Yes,Yes,Very High cost
1775 mAh,Yes,1.5,No,3 pixels,No,41 gb,0.1 cm,163 g,1,7 pixels,1633 ppcm,1869 ppcm,2343 mb,19 cm,13 cm,14,Yes,Yes,Yes,Very High cost
783 mAh,No,1.8,Yes,0 pixels,Yes,43 gb,1.0 cm,106 g,3,4 pixels,1198 ppcm,1471 ppcm,2016 mb,16 cm,4 cm,18,Yes,Yes,No,Medium cost
617 mAh,Yes,2.3,No,0 pixels,No,32 gb,0.5 cm,199 g,7,20 pixels,768 ppcm,874 ppcm,2213 mb,18 cm,13 cm,7,No,No,No,Medium cost
867 mAh,No,1.4,Yes,0 pixels,Yes,4 gb,0.7 cm,135 g,6,1 pixels,70 ppcm,1974 ppcm,790 mb,13 cm,6 cm,3,Yes,Yes,No,Low cost
1310 mAh,Yes,1.1,Yes,13 pixels,No,7 gb,1.0 cm,194 g,5,14 pixels,117 ppcm,513 ppcm,3182 mb,8 cm,4 cm,5,Yes,Yes,No,High cost
1804 mAh,No,0.5,No,9 pixels,Yes,22 gb,0.6 cm,153 g,7,19 pixels,1158 ppcm,1244 ppcm,3472 mb,9 cm,1 cm,20,Yes,No,Yes,Very High cost
1900 mAh,Yes,2.3,No,1 pixels,Yes,18 gb,0.2 cm,89 g,7,9 pixels,1055 ppcm,1661 ppcm,2871 mb,12 cm,1 cm,13,Yes,Yes,Yes,Very High cost
909 mAh,Yes,1.4,No,0 pixels,No,53 gb,0.3 cm,82 g,8,0 pixels,635 ppcm,973 ppcm,3187 mb,12 cm,9 cm,4,Yes,No,No,High cost
1084 mAh,Yes,2.6,No,3 pixels,Yes,40 gb,0.9 cm,107 g,3,11 pixels,322 ppcm,771 ppcm,1945 mb,15 cm,4 cm,10,Yes,Yes,No,Medium cost
1308 mAh,No,1.3,Yes,8 pixels,No,46 gb,0.9 cm,199 g,1,12 pixels,275 ppcm,989 ppcm,488 mb,5 cm,3 cm,9,No,Yes,No,Low cost
1778 mAh,No,0.5,No,0 pixels,No,15 gb,0.5 cm,102 g,3,0 pixels,1445 ppcm,1954 ppcm,1214 mb,5 cm,0 cm,14,Yes,No,No,Medium cost
1701 mAh,Yes,1.6,Yes,3 pixels,No,10 gb,0.3 cm,194 g,8,7 pixels,550 ppcm,1338 ppcm,2598 mb,12 cm,9 cm,6,No,Yes,No,High cost
772 mAh,Yes,2.4,Yes,1 pixels,Yes,10 gb,0.5 cm,80 g,4,2 pixels,1242 ppcm,1712 ppcm,3242 mb,18 cm,11 cm,4,Yes,Yes,No,Very High cost
825 mAh,Yes,0.5,Yes,7 pixels,No,52 gb,0.9 cm,130 g,3,10 pixels,597 ppcm,863 ppcm,3534 mb,10 cm,4 cm,6,No,Yes,No,Very High cost
1379 mAh,No,1.1,No,5 pixels,Yes,36 gb,0.8 cm,200 g,2,7 pixels,538 ppcm,1376 ppcm,3426 mb,5 cm,4 cm,17,Yes,Yes,Yes,Very High cost
1166 mAh,No,2.0,No,3 pixels,Yes,25 gb,0.8 cm,198 g,5,4 pixels,59 ppcm,1203 ppcm,2488 mb,13 cm,5 cm,15,Yes,No,No,High cost
1659 mAh,No,2.8,No,5 pixels,No,16 gb,0.6 cm,89 g,1,20 pixels,819 ppcm,902 ppcm,3255 mb,19 cm,14 cm,9,No,No,Yes,Very High cost
826 mAh,Yes,2.4,Yes,0 pixels,Yes,58 gb,0.3 cm,88 g,4,1 pixels,179 ppcm,786 ppcm,2863 mb,9 cm,3 cm,18,Yes,No,Yes,High cost
1564 mAh,No,2.3,No,4 pixels,Yes,25 gb,0.5 cm,189 g,6,17 pixels,1259 ppcm,1965 ppcm,1496 mb,6 cm,4 cm,7,Yes,Yes,Yes,Medium cost
1957 mAh,No,0.9,Yes,11 pixels,No,31 gb,0.6 cm,181 g,3,16 pixels,396 ppcm,1732 ppcm,3801 mb,12 cm,0 cm,7,Yes,No,Yes,Very High cost
1571 mAh,No,1.4,No,0 pixels,Yes,19 gb,0.1 cm,100 g,6,1 pixels,713 ppcm,1398 ppcm,666 mb,12 cm,10 cm,13,Yes,Yes,No,Low cost
1414 mAh,No,2.0,Yes,2 pixels,No,54 gb,0.8 cm,99 g,7,3 pixels,262 ppcm,829 ppcm,3799 mb,17 cm,7 cm,7,Yes,No,Yes,Very High cost
1790 mAh,No,2.5,Yes,9 pixels,No,2 gb,0.1 cm,184 g,1,14 pixels,622 ppcm,792 ppcm,1366 mb,7 cm,0 cm,20,Yes,Yes,Yes,Medium cost
645 mAh,No,0.5,No,1 pixels,No,41 gb,1.0 cm,197 g,7,10 pixels,327 ppcm,580 ppcm,2962 mb,12 cm,9 cm,4,Yes,Yes,Yes,High cost
668 mAh,No,2.9,Yes,7 pixels,No,30 gb,0.2 cm,195 g,8,12 pixels,522 ppcm,1056 ppcm,2399 mb,10 cm,5 cm,7,Yes,Yes,Yes,Medium cost
1652 mAh,Yes,1.1,Yes,1 pixels,No,36 gb,0.7 cm,89 g,4,5 pixels,313 ppcm,1264 ppcm,2338 mb,12 cm,8 cm,20,No,No,No,High cost
1213 mAh,Yes,0.5,No,0 pixels,No,16 gb,0.5 cm,108 g,5,0 pixels,226 ppcm,1248 ppcm,2700 mb,12 cm,3 cm,9,No,No,Yes,High cost
1272 mAh,Yes,2.5,Yes,0 pixels,No,22 gb,0.9 cm,133 g,6,8 pixels,605 ppcm,669 ppcm,2235 mb,19 cm,4 cm,4,Yes,No,No,Medium cost
866 mAh,No,0.5,Yes,5 pixels,Yes,46 gb,0.5 cm,179 g,8,7 pixels,692 ppcm,1686 ppcm,3825 mb,12 cm,11 cm,2,Yes,Yes,Yes,Very High cost
536 mAh,No,2.4,Yes,12 pixels,Yes,3 gb,0.3 cm,182 g,7,14 pixels,1386 ppcm,1539 ppcm,284 mb,12 cm,9 cm,4,Yes,Yes,No,Low cost
523 mAh,No,2.6,Yes,1 pixels,No,14 gb,0.1 cm,155 g,8,2 pixels,304 ppcm,1042 ppcm,1427 mb,9 cm,1 cm,9,No,Yes,No,Low cost
